city,population
Cross Creek,1366
Mahoning township,1365
Newlin,1361
Dreher,1361
Shoemakersville,1356
Elizabeth borough,1355
Eldred township,1354
Upper Mifflin,1354
Rockdale,1351
Windsor borough,1351
Susquehanna Depot,1343
Perry township,1343
Hughestown,1343
New Beaver,1343
Belfast,1341
Warsaw,1340
Benton township,1340
Elizabethville,1340
Richlandtown,1339
Terre Hill,1338
Union township,1336
Sugarcreek township,1336
Oakland township,1331
North Mahoning,1328
Richmond township,1324
Conyngham township,1324
Tuscarora township,1321
Middleburg,1318
Horton,1318
Washington township,1318
West Mahoning,1316
Girardville,1315
Clymer borough,1314
Pinegrove,1311
St. Clair township,1311
Clinton township,1307
Conneaut township,1307
Pine Creek township,1306
Atglen,1304
Graham,1303
Bryn Athyn,1302
Perry township,1301
Redbank township,1301
Ulster,1300
Huston township,1300
Middlebury,1296
Williamstown,1293
Waymart,1290
Dalton,1289
East Mead,1288
Schwenksville,1287
White township,1285
North Charleroi,1282
Sheshequin,1282
Montrose,1279
East Finley,1276
North Shenango,1275
Main,1275
West Bethlehem,1274
Wayne township,1272
Cherrytree,1270
Wayne township,1269
Litchfield,1269
Mead,1269
Vanport,1269
Highland township,1264
Pulaski township,1264
Flemington,1263
Avondale,1261
Farmington township,1258
Montour,1258
Concord township,1258
Gallitzin township,1257
Washington township,1254
Porter township,1253
Pittsfield,1252
Eldred township,1251
Palmyra township,1251
Biglerville,1245
Watts,1245
West Leechburg,1243
Huston township,1242
Nicholson township,1242
West Easton,1241
Troy borough,1241
Harford,1239
Heidelberg borough,1239
Huston township,1238
Centre Hall,1236
Buffalo township,1236
Union township,1231
Frazer,1229
Irwin township,1226
Bridgeton,1224
Hawley,1223
Buffington,1223
North Apollo,1223
North Heidelberg,1223
Bigler,1223
Perry township,1222
Bloomfield borough,1221
Fairmount,1219
Bally,1218
Duncansville,1216
Rockland township,1215
Dimock,1215
Boswell,1204
Little Beaver,1202
Millbourne,1202
Summerhill township,1200
Williamsburg,1198
Brady township,1196
Wyalusing township,1195
Penn township,1194
Susquehanna township,1193
Gulich,1189
Hastings,1189
Dublin township,1188
Orwell,1187
Woodbury township,1186
Marion township,1185
Jackson township,1184
Sandy Lake township,1184
Muncy township,1183
Dublin township,1182
Shippensburg borough,1179
Bratton,1178
White Haven,1178
Freehold,1177
Duboistown,1175
Penn township,1173
Rush township,1172
Hallstead,1170
King,1169
Orange,1168
West Mayfield,1168
Loretto,1168
Factoryville,1165
Banks township,1164
West Kittanning,1159
West Carroll,1157
Wiconisco,1156
Hollenback,1152
Houston,1152
Wells township,1151
Columbia township,1148
Bradford Woods,1144
Carbondale township,1142
Cleveland,1138
Madison township,1137
West Beaver,1135
Whitaker,1135
Colerain township,1132
Rose,1132
Marion township,1132
Springfield township,1131
Rush township,1130
Milford borough,1128
Royalton,1127
Lemon,1125
Leetsdale,1124
Tuscarora township,1124
McConnellsburg,1124
Liberty township,1121
Wilmot,1119
Jefferson township,1116
Black Lick,1116
McCalmont,1115
South Creek,1112
Point Marion,1111
East Bangor,1107
Forest Lake,1104
Cochranton,1099
Christiana,1099
Nescopeck township,1098
Westfield borough,1097
Ashland township,1094
Ellport,1091
Prospect,1091
Castanea,1090
Monroe township,1090
Sykesville,1089
Durham,1088
Mifflin township,1082
West Perry,1080
Schuylkill township,1077
Knox borough,1076
Bethel township,1075
Center township,1071
Shinglehouse,1070
Speers,1070
Derry township,1068
Neville,1065
South Waverly,1065
New Philadelphia,1065
Milesburg,1065
Roulette,1065
Penn township,1064
Tuscarora township,1058
East Conemaugh,1057
Williams township,1056
Yoe,1053
Slocum,1052
Taylor township,1051
Bessemer,1048
Renovo,1047
North Towanda,1046
Liverpool township,1044
Cherry township,1044
Burnside township,1042
Greenwood township,1042
Abbottstown,1041
Troy township,1041
Upper Turkeyfoot,1041
Bloomfield township,1037
Thompson township,1036
Greene township,1035
Lower Tyrone,1033
Piatt,1031
Liberty township,1029
Towanda township,1028
Packer,1028
Southwest Madison,1027
Lower Augusta,1026
Warren township,1022
Elder,1018
Covington township,1018
Brady township,1014
Carrolltown,1014
Highland township,1013
Osceola Mills,1013
Wayne township,1012
Rose Valley,1012
Thornhurst,1011
Moreland,1010
Preston,1009
Mercer township,1009
Pine township,1009
Harrison township,1009
Asylum,1007
Dunnstable,1005
Walker township,1004
Gibson township,1001
Oneida,998
Limestone township,998
Sugar Notch,998
Rome township,997
Cass township,996
Beavertown,993
Belle Vernon,991
Fairfield township,989
Knox township,989
Oliver township,988
Dennison,986
Millville,984
South Bend,984
Hulmeville,981
Dunbar borough,976
Crawford,974
Falls Creek borough,973
Amity township,972
Central City,972
Palo Alto,971
West Brownsville,971
Miller township,971
Knox township,970
Westfield township,970
Taylor township,968
Liverpool borough,966
Dale,964
East Mahoning,963
Toby,963
Beech Creek township,961
Galeton,959
Turbett,956
New Bethlehem,953
Susquehanna township,952
Redbank township,949
Ivyland,948
Union township,946
Linesville,942
Juniata township,942
Fairview township,937
Union township,936
Clinton township,935
Stoneboro,931
Goldsboro,928
Jackson township,928
East Prospect,927
Venango township,927
Sugar Grove township,927
Tioga township,927
Jackson township,927
Cooper township,927
Harmony borough,926
Ellsworth,925
Cogan House,923
South Fork,922
Harrison township,920
Rimersburg,919
Barry,918
Meshoppen township,918
Addison township,917
Midway,915
Henderson township,914
Stockertown,913
Noxen,909
Morris township,909
Catawissa township,907
Juniata township,906
Canal,906
Terry,903
Bernville,902
White township,902
Adams township,901
Perry township,900
Banks township,899
Pringle,899
Penn township,898
Granville township,896
Beaver Meadows,896
Lincoln borough,895
Trumbauersville,895
Bowmanstown,895
Washington township,893
Chicora,893
Mehoopany,892
Black,891
Plum township,890
Sugarloaf township,890
Todd township,889
Chapman township,887
Beaver township,887
Jackson township,887
Paint borough,886
Avonmore,885
McClure,885
Franklin township,883
Salem township,882
Arendtsville,881
Eulalia,880
Hubley,879
Export,877
Logan township,876
Washington township,874
Bechtelsville,874
Howard township,868
Washington township,866
Albany township,866
East Norwegian,865
Hopewell township,865
Union township,858
Lilly,857
Union township,857
Clay township,855
Lewis township,852
Hyndman,852
Anthony township,851
Saegertown,851
Oregon,847
Southampton township,843
Sweden,843
Venango township,842
Elmhurst,842
Riegelsville,841
Jackson township,841
West Lebanon,837
Taylor township,837
Jordan township,837
Freedom township,835
Union township,833
Northeast Madison,833
Franklin township,830
Sewickley Heights,829
West Finley,829
Rockwood,828
Pleasantville borough,826
Mount Jewett,823
East Fairfield,823
Benton borough,822
New Salem,822
West Marlborough,822
Millheim,821
Mifflintown,818
Blythe,816
Windham township,815
North Irwin,814
Ceres,812
Middlecreek township,811
Mifflin township,811
Rural Valley,809
Worth township,807
Smithfield borough,805
Halifax borough,805
East Brady,803
Madison township,802
New Milford borough,802
Harrisville,800
Silverdale,798
Chester Hill,796
West Middlesex,794
Port Royal,793
Dauphin,790
Boggs township,790
Marion township,790
Beaver township,788
Brooklyn,787
Sandy Creek,787
New Berlin,787
Gamble,784
Beale,780
Rutledge,778
Spruce Hill,777
Manchester township,775
Oklahoma,773
Rutland,769
Sharon township,768
Jordan township,767
Bradys Bend,766
Gordon,766
Mill Creek township,766
Saltsburg,765
Richland township,764
Lathrop,760
Plain Grove,759
Union township,759
Steuben,759
Ringgold,758
Washington township,758
Catharine,756
Connoquenessing borough,755
Spring Creek township,753
Greenville township,752
Karthaus,752
Bendersville,748
Kilbuck,746
Deemston,743
Houtzdale,743
East Butler,743
Everson,740
Eldred borough,736
Salem township,736
Scrubgrass,735
Windham township,735
Oil Creek township,733
Richhill,733
Gratz,733
West Burlington,732
Herrick township,732
Bridgewater borough,732
Beech Creek borough,731
Scalp Level,728
North Abington,725
Brush Creek,725
Vandling,721
Conneautville,720
Ringtown,720
Claysville,719
Chalfant,719
West Taylor,718
Eldred township,714
Saxton,713
Herrick township,711
Nicholson borough,709
Worth township,708
Roscoe,707
Confluence,707
Annin,705
Delta,705
Wolf Creek,704
Genesee,701
French Creek,701
York Springs,698
Koppel,696
Courtdale,694
Millerstown,694
Washington township,692
York Haven,690
Valencia,690
Lake township,690
Lawrenceville,688
Sewickley Hills,688
Lebanon township,688
Salisbury borough,688
Springfield township,684
Parker city,682
Conyngham township,679
Brownstown,678
Deer Lake,678
Choconut,676
Auburn borough,675
Armstrong township,675
Burlington township,675
Sligo,673
Nuangola,671
Knoxville,671
Delaware Water Gap,666
Jennerstown,666
Bell township,666
Gaskill,664
Turbotville,664
Hamlin,664
Farmington township,663
Howard borough,659
New Florence,657
Snow Shoe borough,657
East Chillisquaque,657
Jefferson borough,653
Nippenose,652
Pennsbury Village,650
Munster,648
Middle Taylor,645
Yatesville,644
Burrell township,642
Tionesta township,641
Reilly,639
Upper Mahanoy,638
Ulysses township,635
Valley township,635
South New Castle,634
Grant,633
Leroy,633
Big Run,633
Pike township,633
Sandy Lake borough,633
Athens township,631
Picture Rocks,630
Shickshinny,626
Jackson township,625
Lack,623
Thompsontown,623
Polk borough,623
Great Bend borough,623
Patterson Heights,621
Penn borough,620
Standing Stone,618
Exeter township,618
Cokeburg,617
Blaine,616
Upper Mahantongo,615
Sankertown,614
Franklin township,613
Tidioute,613
Clymer township,612
Conneaut Lake,612
East Cameron,612
Colley,610
Hooversville,610
Wyalusing borough,610
Bingham,609
Allegheny township,609
Winterstown,608
Allegheny township,607
Stewart,605
Gaines,604
Tioga borough,602
Logan township,602
Chatham,601
Wood,597
Emlenton borough,596
Briar Creek borough,596
Jackson township,592
East Vandergrift,591
Ulysses borough,589
Ellwood City borough,589
Southampton township,588
Plunketts Creek,587
Mill Creek township,587
Gilberton,584
Knox township,581
Lorain,579
Osceola,578
Port Matilda,578
Worthington,577
Hebron,576
West Fallowfield township,574
Eldred township,573
Licking,570
Jamestown,570
Wheatland,569
Porter township,567
Glen Osborne,567
Cranesville,566
Parker township,564
Laurel Run,564
Clark,562
Lewis Run,559
Freeburg,558
Roaring Creek,556
Morris township,554
Oakland borough,554
Juniata Terrace,553
East Rochester,552
Marion Heights,551
Franklin township,550
Sutersville,550
Girard township,550
Nelson,546
Wampum,546
Greenwood township,546
Davidson,544
Sugar Grove borough,544
Modena,543
Franklintown,543
Tell,542
Elkland township,542
Whiteley,542
Fairfield borough,540
Dayton,539
Ferguson township,538
Deerfield township,537
Cross Roads,537
Lower Turkeyfoot,536
Irvona,535
Highland township,535
Morris township,535
Larimer,534
Hamilton township,534
Warrior Run,532
Hamilton township,530
Watson township,529
Strattanville,525
Potter township,522
Bastress,520
Hydetown,520
Ararat,519
Mifflin borough,518
Brownsville township,515
Otter Creek,512
Chest township,512
West,509
Felton,509
Mann,507
Beaver township,507
Buckingham township,506
Harmony township,503
Summerville,501
Wall,497
Shippen township,497
Hyde Park,497
Brady township,494
Lanesboro,494
Newell,493
Scott township,492
Norwich,492
Covington township,490
Oakland township,489
New Alexandria,489
Wells township,488
Green Lane,488
West Cameron,487
Curtin,486
Fayette City,485
Mineral,485
New Vernon,484
Franklin township,483
Monroe borough,482
Portland,481
Seven Valleys,480
Orangeville,479
La Plume,479
Allenport,478
McKean borough,477
Richland township,476
South Bethlehem,475
Fawn Grove,474
Ogle,474
Jessup township,473
Toboyne,472
Jordan township,471
Chest township,470
Elk township,468
Hawthorn,468
Austin,467
Summerhill borough,466
Loganton,463
Beaver township,461
Braintrim,460
Mechanicsville,459
Hopewell township,456
McIntyre,454
Thornburg,452
Dushore,451
Harmony township,449
Miller township,448
Orbisonia,447
Rouseville,445
West Hemlock,444
Deer Creek,443
Lyons,442
President,440
Shippenville,436
Three Springs,435
Platea,433
Thompson township,432
Clintonville,431
Little Mahanoy,429
Juniata township,429
Pine township,427
Bolivar,426
Ramey,425
Fredonia,425
Apolacon,424
Lehigh township,424
Barree,424
Rosslyn Farms,424
West Shenango,424
Homer,424
Frailey,423
Clover,422
Morris township,422
Coalport,418
Stevens,418
Stockdale,418
Ernest,415
Tionesta borough,415
Parryville,415
Cascade,415
Petersburg,414
Long Branch,414
Southwest,414
Shrewsbury township,412
Weissport,412
Brisbin,411
Delano,411
Garrett,411
Aleppo township,410
Carmichaels,409
Laporte township,409
Marion Center,408
Bruin,408
Mapleton,407
Burnside township,406
Vintondale,404
Seward,402
South Renovo,402
Clarendon,401
Hickory township,401
West Branch,401
Rices Landing,400
Vanderbilt,397
Putnam,394
Highland township,394
Piney,393
Gallagher,392
Greene township,391
Jackson township,391
Allegany,391
Goshen,390
Cooperstown,389
Marianna,389
Indian Lake,389
West Elizabeth,388
Beallsville,388
Mill Village,386
Buck,386
Ben Avon Heights,385
Lincoln township,384
Rome borough,381
McDonald borough,380
Lewisberry,379
Howe township,379
South Heights,377
Forks township,374
Jackson township,373
Victory,371
Finleyville,371
Bloom,371
Alexandria,371
Penn Lake Park,371
Rockhill,370
Manorville,370
Glendon,368
Springboro,367
Newburg borough,366
Brookfield,365
Dunlevy,364
Middleport,363
Perry township,362
Broad Top City,360
Green township,358
Laceyville,358
Bloss,357
Madison borough,357
Jefferson township,356
Millcreek township,356
Greenwood township,355
Ford Cliff,351
Callery,349
Grampian,348
Westover,348
New Castle township,348
Wattsburg,347
Pine township,345
Herndon,344
Blooming Valley,340
Dawson,339
McVeytown,338
Smithton,337
Hector,337
Cadogan,336
Noyes,335
St. Petersburg,332
Dean,330
Warren township,330
Applewold,330
Schellsburg,327
Meshoppen borough,325
West Liberty,323
Berrysburg,323
Elderton,323
Snydertown,322
Townville,319
New Galilee,318
Wallaceton,318
Pike township,318
Carbon,317
Centerport,316
Laporte borough,316
Mahaffey,315
Corsica,313
Lincoln township,313
Manns Choice,310
Fox township,309
West Abington,309
Saltillo,307
Shrewsbury township,306
Springhill township,305
Hop Bottom,304
South Versailles,304
Hunker,303
Limestone township,302
Eau Claire,299
Northampton township,298
Barnett township,298
Wellsville,298
Forkston,297
Bear Creek Village,296
Enon Valley,294
Porter township,294
Stoystown,292
Pillow,289
LeRaysville,289
McEwensville,289
Pavia,285
Kistler,285
Daisytown,285
Keating township,283
Woodbury borough,283
Creekside,282
Tremont township,282
Polk township,281
Mill Creek borough,280
Corydon,280
Port Clinton,279
Middletown township,278
Allegheny township,276
Spartansburg,274
Cherry Tree,269
Franklin borough,269
Triumph,267
Deerfield township,263
Cummings,263
Elco,260
Unionville,259
Freeport township,258
Pine township,258
Kingsley,257
Railroad,257
Greensboro,253
New Ringgold,251
New Albany,250
Glen Campbell,250
Fallston,250
East Side,250
Plumville,249
Youngstown,248
Hartleton,248
Arona,248
Thompson borough,248
Salladasburg,246
Darlington borough,245
Foster township,245
Bethany,242
Jefferson borough,241
Little Meadows,241
Overton,239
Prompton,237
Yorkana,235
Markleysburg,235
Ursina,235
Mayberry,235
North Branch,233
Newry,231
Liberty borough,230
Reed,229
Blain,228
Hillsgrove,228
Allison,227
Barnett township,227
Gilmore,226
Troutville,226
Rush township,224
Portersville,224
Lausanne,224
Landisburg,223
Watson township,223
Ward,222
New Columbus,221
Abbott,221
Chapman borough,220
Union Dale,220
Oswayo township,220
Benezette,214
Sylvania borough,214
Twilight,213
Orrstown,213
Ashville,209
Wellersburg,208
Venango borough,207
Tunnelhill borough,204
Wilmore,204
Georgetown,203
Armenia,203
Cooke,203
Washingtonville,202
Addison borough,202
Glenfield,202
Elgin,200
Stillwater,199
Colebrook,198
Ehrenfeld,198
Howe township,197
Marklesburg,196
Newton Hamilton,195
Pleasantville borough,195
Spruce Creek,195
Spring Creek township,194
Shanksville,192
New Paris,191
Duncan,190
Mount Gretna,188
Jackson Center,187
Hopewell borough,187
Clarksville,186
Burnside borough,185
Barkeyville,185
New Lebanon,185
Fairview borough,184
Utica,183
Benson,180
Dudley,180
Lenhartsville,178
Foxburg,178
West Sunbury,177
Gray,177
Eastvale,177
Roseville,176
Petrolia,173
Lumber,173
Gibson township,173
Centerville borough,173
Starrucca,173
Clara,173
Cherry Grove,168
Karns City,167
Portage township,158
Portage township,157
Leidy,156
Cassandra,154
Shippingport,154
Eagles Mere,152
Sheakleyville,146
Bear Lake,146
McNett,145
Callensburg,144
Sergeant,143
Burlington borough,143
Laurel Mountain,143
Adamsburg,142
Timblin,141
Chest Springs,139
Shirleysburg,138
Alba,137
Rainsburg,137
Landingville,136
Woodcock borough,135
Cassville,134
New Baltimore,134
Oswayo borough,130
Summit township,129
Hookstown,129
Coaldale borough,128
New Buffalo,125
New Centerville,123
Glen Hope,123
Volant,122
McHenry,119
Wharton township,117
Frankfort Springs,115
Heath,115
Casselman,114
Coal Center,110
West Middletown,109
Forksville,109
Jeddo,108
Grove,107
Atwood,107
Tunnelhill borough,106
Shelocta,101
Armagh borough,100
Donegal borough,100
Fairhope,100
Friendsville,99
Millstone,92
Brown township,91
Mount Carbon,90
Coalmont,89
Trafford borough,89
Homewood,89
Birmingham borough,87
Haysville,79
Pleasant Valley,79
Newburg borough,79
Shade Gap,77
St. Clairsville,75
Brady township,73
Sylvania township,72
Worthville,71
Hovey,71
Glasgow,68
Stewardson,62
Pine township,59
Cherry Valley,57
Smicksburg,56
New Morgan,54
Callimont,53
New Washington,51
Grugan,47
Elk township,44
Falls Creek borough,41
Ohiopyle,37
Driftwood,35
Adamstown borough,21
Green Hills,20
S.N.P.J,17
West Keating,16
Seven Springs borough,13
Seven Springs borough,12
East Keating,9
Emlenton borough,7
Centralia,5
Valley-Hi,5
